item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q890103,mule,person who smuggles contraband across a border for a smuggling organization
http://www.wikidata.org/entity/Q903810,magnate,person in a high social position
http://www.wikidata.org/entity/Q1021386,civil rights advocate,advocate for civil rights
http://www.wikidata.org/entity/Q881660,whitesmith,blacksmith who works with sheet metal
http://www.wikidata.org/entity/Q1140764,crofter,"tenant of a small landholding, esp. in Scotland"
http://www.wikidata.org/entity/Q1075838,dawah,proselytizing or preaching of Islam
http://www.wikidata.org/entity/Q1097498,ruler,person who reigns over a certain region or country
http://www.wikidata.org/entity/Q715679,patent inventor,"person, or persons in United States patent law, who contribute to the claims of a patentable invention"
http://www.wikidata.org/entity/Q754089,Bas Hatun,"""Queen Mother"" in the Ottoman Empire"
http://www.wikidata.org/entity/Q873492,volunteer serving one year,
http://www.wikidata.org/entity/Q843926,child soldier,children associated with military organisations
http://www.wikidata.org/entity/Q875146,sysop,user with administrative permissions on a multi-user system
http://www.wikidata.org/entity/Q860918,Esperantist,person speaking or using the international language Esperanto
http://www.wikidata.org/entity/Q804241,Black Rod,Parliamentary official
http://www.wikidata.org/entity/Q834316,Nazirite,Jewish person who took vow of Numbers 6:1-21
http://www.wikidata.org/entity/Q738142,clerk,white-collar worker who conducts general office tasks
http://www.wikidata.org/entity/Q885444,bladesmith,person who uses an anvil and forge to make various types of blades
http://www.wikidata.org/entity/Q913532,charro,traditional horseman of Mexico
http://www.wikidata.org/entity/Q1045845,lead vocalist,member of a band who sings the main solo vocal portions of a song
http://www.wikidata.org/entity/Q1124183,lumberjack,worker who performs the initial harvesting of trees
http://www.wikidata.org/entity/Q1062723,chaperon,in sport
http://www.wikidata.org/entity/Q1127270,deputy chairperson,sub class of Chairman
http://www.wikidata.org/entity/Q1079215,AV idol,Japanese idol who works in the pornographic business
http://www.wikidata.org/entity/Q852857,sex worker,person who works in the sex industry
http://www.wikidata.org/entity/Q989174,convict,one who has been found guilty of a crime by a court of law
http://www.wikidata.org/entity/Q797525,Baghatur,"the honorary title of the Turkic and Mongolian peoples, appended to the name"
http://www.wikidata.org/entity/Q808967,barrister,lawyer specialized in court representation in certain jurisdictions
http://www.wikidata.org/entity/Q912310,code talker,people in the 20th century who used obscure languages as a means of secret communication during wartime; e.g. United States service members during the world wars who used their knowledge of Native American languages to transmit coded messages
http://www.wikidata.org/entity/Q779555,Master of the stewards,one of the high officials of the royal household in the Kingdom of Hungary
http://www.wikidata.org/entity/Q848466,courier,"person that performs long-distance or international rapid transports and delivery on behalf of third parties delivering messages, packages, and mail."
http://www.wikidata.org/entity/Q932945,khatib,"person who delivers the sermon (khuṭbah), during the Friday prayer and Eid prayers"
http://www.wikidata.org/entity/Q914223,pen pal,"one of at least two people who regularly write to each other, particularly via postal mail"
http://www.wikidata.org/entity/Q864380,biographer,person who creates biographies
http://www.wikidata.org/entity/Q767703,breakdancer,person who breakdances
http://www.wikidata.org/entity/Q1078096,unlicensed assistive personnel,paraprofessionals who assist with bedside care under the supervision of a registered nurse
http://www.wikidata.org/entity/Q952375,shifu,"master, teacher"
http://www.wikidata.org/entity/Q1078995,rogue,vagrant person who wanders from place to place
http://www.wikidata.org/entity/Q1055825,digital journalism,an occupation for journalists publishing content digitally
http://www.wikidata.org/entity/Q806283,Bandeirante,member of colonial-time Brazilian expedition squads
http://www.wikidata.org/entity/Q1076418,choregos,sponsor of a theatrical production in Ancient Greece
http://www.wikidata.org/entity/Q1141016,crooner,"American epithet given primarily to male singers of jazz standards, mostly from the Great American Songbook"
http://www.wikidata.org/entity/Q39631,physician,professional who practices medicine
http://www.wikidata.org/entity/Q217123,oracle,"in classical antiquity, person or agency considered to provide wise and insightful counsel or prophetic predictions or precognition of the future"
http://www.wikidata.org/entity/Q48282,student,"learner, or someone who attends an educational institution"
http://www.wikidata.org/entity/Q107198,barber,"person whose occupation is mainly to cut, dress, groom, style and shave males' hair"
http://www.wikidata.org/entity/Q126236,conquistador,"soldiers, explorers, and adventurers at the service of the Spanish Empire and Portuguese Empire"
http://www.wikidata.org/entity/Q140686,chairperson,"leading or presiding officer of an organized group such as a board, committee, or deliberative assembly"
http://www.wikidata.org/entity/Q133744,tour operator,economic activity
http://www.wikidata.org/entity/Q162244,hero,"person or character who fights adversity through ingenuity, courage, or strength"
http://www.wikidata.org/entity/Q168827,prophet of Islam,apostles who preach the news of what comes from the revelation and Sharia
http://www.wikidata.org/entity/Q245068,comedian,"person who seeks to entertain an audience, primarily by making them laugh"
http://www.wikidata.org/entity/Q215793,kapellmeister,"person in charge of music-making, chapel master, word originally used in the context of chapels"
http://www.wikidata.org/entity/Q203658,waste picker,craft
http://www.wikidata.org/entity/Q126214,refusenik,"unofficial term for individuals, typically but not exclusively Soviet Jews, who were denied permission to emigrate by the authorities of the former Soviet Union and other countries of the Eastern bloc"
http://www.wikidata.org/entity/Q315625,trainee,official employee of the firm that is being trained to the job
http://www.wikidata.org/entity/Q217731,hajduk,peasant irregular infantry found in Central and Southeast Europe from the early 17th to mid 19th centuries
http://www.wikidata.org/entity/Q288463,Playboy Bunny,waitress at a Playboy Club
http://www.wikidata.org/entity/Q11281,troll,Internet slang for someone who is deliberately inflammatory online
http://www.wikidata.org/entity/Q152355,cobbler,person who makes or repairs shoes
http://www.wikidata.org/entity/Q36834,composer,person who is an author of music in any form
http://www.wikidata.org/entity/Q63765,gokenin,vassal of the shogunate
http://www.wikidata.org/entity/Q11147,Chief Justice of the United States,presiding judge of the United States Supreme Court
http://www.wikidata.org/entity/Q131572,refugee,type of displaced person
http://www.wikidata.org/entity/Q189829,hermit,person who lives in seclusion from society
http://www.wikidata.org/entity/Q286651,logographer,
http://www.wikidata.org/entity/Q42178,vice president,officer in government or business
http://www.wikidata.org/entity/Q170790,mathematician,person with an extensive knowledge of mathematics
http://www.wikidata.org/entity/Q27349,dentist,healthcare occupation
http://www.wikidata.org/entity/Q193432,fan,person who is enthusiastically devoted to something or someone
http://www.wikidata.org/entity/Q268689,"Jack of all trades, master of none",figure of speech
http://www.wikidata.org/entity/Q123795,scientific assistant,formerly an academic position at German universities for researchers with doctoral degrees and additional academic qualifications
http://www.wikidata.org/entity/Q181043,dissident,"person who actively challenges an established doctrine, policy, or institution"
http://www.wikidata.org/entity/Q214970,virtuoso,individual who possesses outstanding technical ability in a particular art or field
http://www.wikidata.org/entity/Q182436,librarian,"person who works professionally in a library, and is usually trained in librarianship"
http://www.wikidata.org/entity/Q212418,ronin,samurai without a lord
http://www.wikidata.org/entity/Q121998,ambassador,highest diplomatic rank
http://www.wikidata.org/entity/Q222344,cinematographer,chief over the camera and lighting crews working on a film
http://www.wikidata.org/entity/Q80687,secretary,office occupation
http://www.wikidata.org/entity/Q139648,technology evangelist,person who builds a critical mass of support for a given technology
http://www.wikidata.org/entity/Q170305,satrap,ruler of a province in ancient Persia
http://www.wikidata.org/entity/Q225907,professional revolutionary,follower of the Communist movement who engages professionally in subversive or revolutionary (depending on viewpoint) activities
http://www.wikidata.org/entity/Q220098,warlord,person who has both military and civil control and power
http://www.wikidata.org/entity/Q270141,polymath,individual whose knowledge spans a significant number of subjects
http://www.wikidata.org/entity/Q131767,shogun,type of historical military dictator in Japan
http://www.wikidata.org/entity/Q18805,naturalist,"person who studies and knows a lot about plants, animals and natural history (esp in the field)"
http://www.wikidata.org/entity/Q151092,pin-up girl,model whose mass-produced pictures see wide appeal as popular culture
http://www.wikidata.org/entity/L725411,L725411,
http://www.wikidata.org/entity/L725441,L725441,
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience
http://www.wikidata.org/entity/L725930,L725930,
http://www.wikidata.org/entity/Q179294,eunuch,castrated male human
http://www.wikidata.org/entity/Q47064,military personnel,one who serves as part of an organized armed military force
http://www.wikidata.org/entity/Q211236,celebrity,prominent person who commands some degree of public fascination and appears in the media
http://www.wikidata.org/entity/Q319544,secretary,executive position within an organization or a club
http://www.wikidata.org/entity/Q129536,lokator,medieval surveyor
http://www.wikidata.org/entity/Q82955,politician,person involved in politics; person who holds or seeks positions in government
http://www.wikidata.org/entity/Q212816,au pair,"person, usually young girl, travelling from one country to another to live in a family and do household work, with childcare as the main work task"
http://www.wikidata.org/entity/Q212948,partisan,member of a resistance movement
http://www.wikidata.org/entity/Q174921,Burschenschaft,"student fraternities in Germany, Austria and Chile"
http://www.wikidata.org/entity/Q83307,minister,"politician who holds significant civil public office in a national or regional government, generally heading a ministry"
http://www.wikidata.org/entity/Q221488,pedestrian,person who travels on foot
http://www.wikidata.org/entity/Q1487,hacker,computing term with a variety of meanings
http://www.wikidata.org/entity/Q26102,whistleblower,person who tells the public or someone in authority about alleged dishonest or illegal activities
http://www.wikidata.org/entity/Q33231,photographer,person who takes photographs
http://www.wikidata.org/entity/Q280447,carnival producer,"person responsible for the conception and development of the plot, allegories and costumes to be presented by a samba school"
http://www.wikidata.org/entity/Q186360,nurse,type of health care provider
http://www.wikidata.org/entity/Q205375,inventor,"person that devises a new device, method, composition, or process"
http://www.wikidata.org/entity/Q130857,disc jockey,person who plays recorded music for an audience
http://www.wikidata.org/entity/Q22855,consumer,person or group of people that are the final users of products and or services; one who pays something to consume goods and services produced
http://www.wikidata.org/entity/Q214917,playwright,person who writes plays
http://www.wikidata.org/entity/Q47315,cavalry,soldiers or warriors fighting from horseback
http://www.wikidata.org/entity/Q145811,Zamindar,"feudal, hereditary land-owners in Indian subcontinent"
http://www.wikidata.org/entity/Q315247,university student,student in university or college
http://www.wikidata.org/entity/Q137350,mole,type of spy
http://www.wikidata.org/entity/Q152478,sponsor,"commercial supporter of an event, activity, or person"
http://www.wikidata.org/entity/Q193279,orphan,child whose parents are dead or have abandoned them permanently
http://www.wikidata.org/entity/Q285759,insurance broker,person or organization who acts as an intermediary between sellers and buyers of insurance policies
http://www.wikidata.org/entity/Q185196,midwife,medical professional who practices obstetrics as a health science
http://www.wikidata.org/entity/Q161850,nude model,artist's model who poses in the nude
http://www.wikidata.org/entity/Q36180,writer,person who uses written words to communicate ideas and to produce works of literature
